Termino,Repeticiones,Libro_Origen,Palabra,Num_Libros_Con_Termino,Es_Global,TFIDF_like,Saga,Mundo,Orden_Publicacion,Anio_Publicacion
Elhokar,298,Juramentada,Elhokar,4,true,373.3233646116197,El Archivo de las Tormentas,Roshar,3,2017
Renarin,284,Juramentada,Renarin,4,true,355.7846830526845,El Archivo de las Tormentas,Roshar,3,2017
Marsh,282,El Heroe de las Eras,Marsh,5,true,290.3526756450866,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Roshar,280,TOTAL,Roshar,8,true,,,,,
Szeth,276,Juramentada,Szeth,5,true,284.17495914199964,El Archivo de las Tormentas,Roshar,3,2017
Elhokar,273,El camino de los reyes,Elhokar,4,true,342.00429039923546,El Archivo de las Tormentas,Roshar,1,2010
Luz tormentosa,266,Palabras radiantes,Luz tormentosa,5,true,273.87876497018806,El Archivo de las Tormentas,Roshar,2,2014
Kelsier,261,El Pozo de la Ascension,Kelsier,7,true,180.91141412614573,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Eshonai,258,Palabras radiantes,Eshonai,4,true,323.212845871805,El Archivo de las Tormentas,Roshar,2,2014
Cikatriz,254,TOTAL,Cikatriz,5,true,,,,,
Taravangian,249,Juramentada,Taravangian,4,true,311.9379791553466,El Archivo de las Tormentas,Roshar,3,2017
Moash,245,Juramentada,Moash,4,true,306.9269272813652,El Archivo de las Tormentas,Roshar,3,2017
Gaz,243,El camino de los reyes,Gaz,4,true,304.42140134437443,El Archivo de las Tormentas,Roshar,1,2010
Fen,242,TOTAL,Fen,3,true,,,,,
Gavilar,237,Juramentada,Gavilar,4,true,296.90482353340224,El Archivo de las Tormentas,Roshar,3,2017
Llarimar,232,El aliento de los dioses,Llarimar,1,false,612.2613004707399,El aliento de los dioses,Nalthis,1,2009
Llarimar,232,TOTAL,Llarimar,1,false,,,,,
Sadeas,228,Juramentada,Sadeas,4,true,285.62995681694395,El Archivo de las Tormentas,Roshar,3,2017
Amaram,227,Juramentada,Amaram,4,true,284.37719384844854,El Archivo de las Tormentas,Roshar,3,2017
Mraize,224,El Ritmo de la Guerra,Mraize,3,true,345.05968917216137,El Archivo de las Tormentas,Roshar,4,2020
Marsh,223,El Imperio Final,Marsh,5,true,229.60513003139826,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Venli,223,Juramentada,Venli,3,true,343.51924413121424,El Archivo de las Tormentas,Roshar,3,2017
Armonía,220,El metal perdido,Armonía,5,true,226.51627177985478,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Esfera,219,El camino de los reyes,Esfera,11,true,52.81449044289848,El Archivo de las Tormentas,Roshar,1,2010
Navani,217,El camino de los reyes,Navani,4,true,271.84956416349485,El Archivo de las Tormentas,Roshar,1,2010
Syl,216,El camino de los reyes,Syl,5,true,222.39779411113017,El Archivo de las Tormentas,Roshar,1,2010
MeLaan,214,Brazales de duelo,MeLaan,4,true,268.09127525800875,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Renarin,209,Palabras radiantes,Renarin,4,true,261.8274604155319,El Archivo de las Tormentas,Roshar,2,2014
Fen,208,Juramentada,Fen,3,true,320.412568517007,El Archivo de las Tormentas,Roshar,3,2017
Odium,204,Juramentada,Odium,5,true,210.04236110495626,El Archivo de las Tormentas,Roshar,3,2017
Encendedora,203,El aliento de los dioses,Encendedora,1,false,535.7286379118974,El aliento de los dioses,Nalthis,1,2009
Encendedora,203,TOTAL,Encendedora,1,false,,,,,
Szeth,201,El Ritmo de la Guerra,Szeth,5,true,206.95350285341277,El Archivo de las Tormentas,Roshar,4,2020
Luz tormentosa,196,El camino de los reyes,Luz tormentosa,5,true,201.80540576750698,El Archivo de las Tormentas,Roshar,1,2010
Dabbid,193,TOTAL,Dabbid,4,true,,,,,
Esfera,192,Palabras radiantes,Esfera,11,true,46.3031149088425,El Archivo de las Tormentas,Roshar,2,2014
Ranette,192,TOTAL,Ranette,4,true,,,,,
Fantasma,191,El Pozo de la Ascension,Fantasma,5,true,196.6573086816012,Nacidos de la Bruma (Era 1),Scadrial,2,2007
MeLaan,184,Sombras de identidad,MeLaan,4,true,230.50838620314772,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Moash,173,El camino de los reyes,Moash,4,true,216.72799354969868,El Archivo de las Tormentas,Roshar,1,2010
Dockson,171,El Pozo de la Ascension,Dockson,3,true,263.4161020019625,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Susebron,170,El aliento de los dioses,Susebron,1,false,448.63974603459394,El aliento de los dioses,Nalthis,1,2009
Susebron,170,TOTAL,Susebron,1,false,,,,,
Lirin,164,El camino de los reyes,Lirin,4,true,205.45312683324036,El Archivo de las Tormentas,Roshar,1,2010
Esfera,157,Juramentada,Esfera,11,true,37.862442920251425,El Archivo de las Tormentas,Roshar,3,2017
Renarin,157,El camino de los reyes,Renarin,4,true,196.6837860537728,El Archivo de las Tormentas,Roshar,1,2010
Dedos Azules,156,El aliento de los dioses,Dedos Azules,1,false,411.69294341998034,El aliento de los dioses,Nalthis,1,2009
Dedos Azules,156,TOTAL,Dedos Azules,1,false,,,,,
Lift,151,El Ritmo de la Guerra,Lift,4,true,189.16720824280057,El Archivo de las Tormentas,Roshar,4,2020
Moash,149,El Ritmo de la Guerra,Moash,4,true,186.66168230580985,El Archivo de las Tormentas,Roshar,4,2020
Conservación,149,TOTAL,Conservación,7,true,,,,,
Dabbid,148,El Ritmo de la Guerra,Dabbid,4,true,185.40891933731447,El Archivo de las Tormentas,Roshar,4,2020
Alomancia,147,El Imperio Final,Alomancia,9,true,64.94941458501877,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Marsh,147,El Pozo de la Ascension,Marsh,5,true,151.35405432563024,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Honor,147,El Ritmo de la Guerra,Honor,6,true,124.55278547691894,El Archivo de las Tormentas,Roshar,4,2020
Teft,144,Juramentada,Teft,5,true,148.26519607408676,El Archivo de las Tormentas,Roshar,3,2017
Teft,144,Palabras radiantes,Teft,5,true,148.26519607408676,El Archivo de las Tormentas,Roshar,2,2014
Szeth,141,Palabras radiantes,Szeth,5,true,145.1763378225433,El Archivo de las Tormentas,Roshar,2,2014
Lift,140,Palabras radiantes,Lift,4,true,175.38681558935153,El Archivo de las Tormentas,Roshar,2,2014
Amaram,139,El camino de los reyes,Amaram,4,true,174.13405262085615,El Archivo de las Tormentas,Roshar,1,2010
Armonía,139,Sombras de identidad,Armonía,5,true,143.11709898818097,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Lunamor,138,Juramentada,Lunamor,1,false,364.18991148690566,El Archivo de las Tormentas,Roshar,3,2017
Lunamor,138,TOTAL,Lunamor,1,false,,,,,
Sangre Espectral,136,TOTAL,Sangre Espectral,5,true,,,,,
Gavilar,132,El camino de los reyes,Gavilar,4,true,165.36471184138858,El Archivo de las Tormentas,Roshar,1,2010
Hesina,132,TOTAL,Hesina,3,true,,,,,
Yalb,132,TOTAL,Yalb,4,true,,,,,
Dominio,131,TOTAL,Dominio,5,true,,,,,
Lopen,130,El camino de los reyes,Lopen,5,true,133.85052423355054,El Archivo de las Tormentas,Roshar,1,2010
Fatren,129,El Heroe de las Eras,Fatren,1,false,340.4383955203683,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Fatren,129,TOTAL,Fatren,1,false,,,,,
Steris,127,Sombras de identidad,Steris,4,true,159.10089699891174,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Alomancia,126,El Heroe de las Eras,Alomancia,9,true,55.67092678715894,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Esfera,125,El Ritmo de la Guerra,Esfera,11,true,30.145257102111007,El Archivo de las Tormentas,Roshar,4,2020
Elhokar,124,Palabras radiantes,Elhokar,4,true,155.34260809342564,El Archivo de las Tormentas,Roshar,2,2014
Lopen,124,Palabras radiantes,Lopen,5,true,127.6728077304636,El Archivo de las Tormentas,Roshar,2,2014
Sangre Nocturna,124,TOTAL,Sangre Nocturna,2,false,,,,,
Cikatriz,122,Juramentada,Cikatriz,5,true,125.61356889610128,El Archivo de las Tormentas,Roshar,3,2017
Gavilar,120,El Ritmo de la Guerra,Gavilar,4,true,150.33155621944417,El Archivo de las Tormentas,Roshar,4,2020
Hoid,120,TOTAL,Hoid,9,true,,,,,
Sangre Nocturna,120,El aliento de los dioses,Sangre Nocturna,2,false,233.5092178866376,El aliento de los dioses,Nalthis,1,2009
Sigzil,117,Palabras radiantes,Sigzil,4,true,146.57326731395807,El Archivo de las Tormentas,Roshar,2,2014
Honor,115,Juramentada,Honor,6,true,97.43925394452842,El Archivo de las Tormentas,Roshar,3,2017
Conservación,111,El Heroe de las Eras,Conservación,7,true,76.93933704215392,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Taravangian,111,Palabras radiantes,Taravangian,4,true,139.05668950298585,El Archivo de las Tormentas,Roshar,2,2014
Renarin,109,El Ritmo de la Guerra,Renarin,4,true,136.55116356599513,El Archivo de las Tormentas,Roshar,4,2020
Dor,109,TOTAL,Dor,3,true,,,,,
Roshar,108,El Ritmo de la Guerra,Roshar,8,true,60.43850509702565,El Archivo de las Tormentas,Roshar,4,2020
Lopen,108,Juramentada,Lopen,5,true,111.19889705556508,El Archivo de las Tormentas,Roshar,3,2017
Steris,107,Aleacion de Ley,Steris,4,true,134.04563762900437,Nacidos de la Bruma (Era 2),Scadrial,1,2011
Cenn,105,El camino de los reyes,Cenn,1,false,277.10101960960213,El Archivo de las Tormentas,Roshar,1,2010
Esfera,105,El Ritmo de la Guerra,Esfera,11,true,25.322015965773243,El Archivo de las Tormentas,Roshar,4,2020
Investidura,105,TOTAL,Investidura,9,true,,,,,
Cenn,105,TOTAL,Cenn,1,false,,,,,
Humano,101,TOTAL,Humano,8,true,,,,,
Dor,100,Esquirla del Amanecer,Dor,3,true,154.0445040947149,,,,
Roshar,100,Juramentada,Roshar,8,true,55.961578793542266,El Archivo de las Tormentas,Roshar,3,2017
Esfera,99,Palabras radiantes,Esfera,11,true,23.875043624871918,El Archivo de las Tormentas,Roshar,2,2014
Autonomía,96,El metal perdido,Autonomía,1,false,253.3495036430648,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Autonomía,96,TOTAL,Autonomía,1,false,,,,,
Cosmere,95,TOTAL,Cosmere,10,true,,,,,
Hesina,94,El Ritmo de la Guerra,Hesina,3,true,144.80183384903202,El Archivo de las Tormentas,Roshar,4,2020
Sigzil,94,El camino de los reyes,Sigzil,4,true,117.7597190385646,El Archivo de las Tormentas,Roshar,1,2010
Alomancia,91,El Pozo de la Ascension,Alomancia,9,true,40.20678045739257,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Aliento,90,El aliento de los dioses,Aliento,13,true,6.669717493834965,El aliento de los dioses,Nalthis,1,2009
Esfera,88,El camino de los reyes,Esfera,11,true,21.22226099988615,El Archivo de las Tormentas,Roshar,1,2010
Lift,86,Juramentada,Lift,4,true,107.73761529060165,El Archivo de las Tormentas,Roshar,3,2017
Venli,86,Palabras radiantes,Venli,3,true,132.4782735214548,El Archivo de las Tormentas,Roshar,2,2014
Armonía,81,Brazales de duelo,Armonía,5,true,83.3991727916738,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Sigzil,79,El Ritmo de la Guerra,Sigzil,4,true,98.96827451113407,El Archivo de las Tormentas,Roshar,4,2020
Yanagawn,78,TOTAL,Yanagawn,3,true,,,,,
Sigzil,76,Juramentada,Sigzil,4,true,95.20998560564797,El Archivo de las Tormentas,Roshar,3,2017
Mraize,76,Palabras radiantes,Mraize,3,true,117.07382311198333,El Archivo de las Tormentas,Roshar,2,2014
Cikatriz,76,El camino de los reyes,Cikatriz,5,true,78.25107570576802,El Archivo de las Tormentas,Roshar,1,2010
Ranette,75,Aleacion de Ley,Ranette,4,true,93.9572226371526,Nacidos de la Bruma (Era 2),Scadrial,1,2011
TenSoon,72,Sombras de identidad,TenSoon,6,true,61.00544594787866,Nacidos de la Bruma (Era 2),Scadrial,2,2015
Nale,72,TOTAL,Nale,4,true,,,,,
Humano,71,El Heroe de las Eras,Humano,8,true,39.73272094341501,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Esfera,69,Juramentada,Esfera,11,true,16.640181920365276,El Archivo de las Tormentas,Roshar,3,2017
Kelsier,68,El metal perdido,Kelsier,7,true,47.13400827807628,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Sangre Espectral,67,El Ritmo de la Guerra,Sangre Espectral,5,true,68.98450095113759,El Archivo de las Tormentas,Roshar,4,2020
Yalb,64,El camino de los reyes,Yalb,4,true,80.17682998370356,El Archivo de las Tormentas,Roshar,1,2010
Palona,64,TOTAL,Palona,3,true,,,,,
Gaz,62,Palabras radiantes,Gaz,4,true,77.67130404671282,El Archivo de las Tormentas,Roshar,2,2014
Fantasma,62,El Imperio Final,Fantasma,5,true,63.8364038652318,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Gavilar,61,Palabras radiantes,Gavilar,4,true,76.41854107821746,El Archivo de las Tormentas,Roshar,2,2014
Astilla,61,TOTAL,Astilla,10,true,,,,,
Ym,60,Palabras radiantes,Ym,1,false,158.34343977691552,El Archivo de las Tormentas,Roshar,2,2014
Ym,60,TOTAL,Ym,1,false,,,,,
Ranette,59,El metal perdido,Ranette,4,true,73.91301514122671,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Eshonai,58,Juramentada,Eshonai,4,true,72.66025217273135,El Archivo de las Tormentas,Roshar,3,2017
Cultivación,57,TOTAL,Cultivación,5,true,,,,,
Dominio,56,El Pozo de la Ascension,Dominio,5,true,57.65868736214485,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Yanagawn,55,Juramentada,Yanagawn,3,true,84.7244772520932,El Archivo de las Tormentas,Roshar,3,2017
Dominio,54,El Heroe de las Eras,Dominio,5,true,55.59944852778254,Nacidos de la Bruma (Era 1),Scadrial,3,2008
Mraize,52,Juramentada,Mraize,3,true,80.10314212925175,El Archivo de las Tormentas,Roshar,3,2017
MeLaan,50,El metal perdido,MeLaan,4,true,62.6381484247684,Nacidos de la Bruma (Era 2),Scadrial,4,2022
Mennis,50,El Imperio Final,Mennis,1,false,131.9528664807629,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Mennis,50,TOTAL,Mennis,1,false,,,,,
Rlain,49,Juramentada,Rlain,3,true,75.4818070064103,El Archivo de las Tormentas,Roshar,3,2017
Nale,49,El Ritmo de la Guerra,Nale,4,true,61.385385456273035,El Archivo de las Tormentas,Roshar,4,2020
Aliento,49,Juramentada,Aliento,13,true,3.6312906355323697,El Archivo de las Tormentas,Roshar,3,2017
Alomancia,48,Brazales de duelo,Alomancia,9,true,21.207972109393882,Nacidos de la Bruma (Era 2),Scadrial,3,2016
Perpendicularidad,48,TOTAL,Perpendicularidad,3,true,,,,,
